Name,Website,Description,Images,License,Pricing,Demo Immediately?,Free Trial,Developer Link,Github,API Details,Software Libraries,Languages,Protocols,Hardware,Comms,Platforms,Database Connections,Dev Kit?,Device Agent?,Agent Device Requirements,Specialty,Features,Target Audience,Apps,Field 25
,,,,,,,,,,,,,,,,,,,,,,,,,
Afero,https://www.afero.io/,,,,,,,,,,,,,,,,,,,,,,,,
AirVantage M2M Cloud,https://airvantage.net/,,,,,,checked,,,,,,OAuth2,mangOH Green,,,,,,,,,,,
Amazon AWS IOT,https://aws.amazon.com/iot/getting-started/,,,,https://www.amazon.com/dp/B01BH83OOM/,,,,,,Open Translators to Things,,,,,,,,,,,,,,
Ardic ARCLOUD,http://www.ardictech.com/,"A unique distributed, scalable and highly reliable IoT platform that comes with a rich feature set including on the fly customization of edge devices for deployment in diverse market segments.",,,,,,,,,,,,,,,,,,,,,,,
Arduino Cloud,https://create.arduino.cc/iot/products/cloud/,A NEW TOOL TO CONNECT YOUR THINGS TO THE INTERNET AND TO EACH OTHER,,,,,checked,,,,,,,,,,,,,,,,DIY,,
Arrayent,http://www.arrayent.com/,Arrayent is the IoT platform that enables the world’s most trusted brands to deliver connected products to consumers.,,,http://www.arrayent.com/contact-us/,,,,,,"Android,iOS",,,,,,,checked,checked,30KB of Flash and 5 KB of RAM memory resources,,,,,
AT&T M2X,https://m2x.att.com/,,,,,,,,,,,,,Lilypad,,,,,,,,,,,
Augury,http://www.augury.com/industries/internet-of-things/,,,,,,,,,,,,,,,,,,,,,,Industrial,,
Autodesk SeeControl Platform,http://www.seecontrol.com/,"Autodesk®SeeControl® is an enterprise IoT cloud service that helps manufacturers to connect, analyze, and manage their products. It virtualizes machines, links them with reporting devices, and through analytics unlocks the data trapped inside—utilizing the unlimited computing power of a cloud native architecture. With smart, connected machines, manufacturers can offer higher service levels, reduce asset downtime, and lower maintenance and material costs.",,,http://www.seecontrol.com/pricing/,,,,,,,,"CoAP,UDP,XMPP,MQTT,DDS",,Modbus,,,,,,,,,,
Axonize,http://axonize.com/,"The most powerful IoT apps are the easiest to develop on Axonize,
the only IoT platform with cross-application insights and
fully configurable business logic",,,,,,,,,,,,,,,,,,,,,,,
