Country,State,City,Name,Category - Final,Description,Website
United States, New York,New York,*gram Labs,Core AI,"GramLabs is a start up, leveraging deep learning, speech recognition and holographic design.",http://gramlabs.ai/
Germany,,Berlin,12k Research,Business Intelligence,,https://12k.co
Israel, HaMerkaz,Savyon,12mass,Communication,"12Mass (formerly itweetlive) makes it possible to deliver individualized responses to large, targeted audiences while measuring the effectiveness of your conversations.",http://12mass.com
China,,Beijing,12SIGMA,Healthcare,12SIGMA is a biotechnology company that integrates artificial intelligence and deep learning into modern medical image diagnosis and medical data analysis. 12SIGMA is based in Beijing and San Diego.,http://www.12sigma.cn
United States, Maryland,Germantown,133T.,Human Resources,"133T, (LEET), provides an automated, streamlined, modern platform for professionals and employers, yet creating the ultimate job searching experience for professionals and a highly competitive nimble product for companies of all sizes. ",http://www.133t.com
Germany,,Dusseldorf,149 Technologies,Communication,,http://www.149tech.com/
China,,Chaoyang District,21vianet,Core AI,,http://www.ch.21vianet.com
India,,Gurgaon,22Motors,Transportation,"We think of us a research lab in field of mobility with an aim to constantly infuse technology in automobiles. We work on latest technologies like Artificial Intelligence, Lithium Ion Storage, Internet of Things and advanced Electric Powertrains to provide best machines till date.",http://www.22motors.in/
Israel, Tel Aviv,Tel Aviv,24me,Communication,24me is a tech company building the next generation digital personal assistant for everyone.,http://www.twentyfour.me
Israel,,,2bPrecise,Healthcare,,https://2bprecisehealth.com
Netherlands,,Utrecht,2getthere,Transportation,"2getthere provides Personal Rapid Transit (PRT) and Group Rapid Transit (GRT) systems. These automated people mover systems are guided transit modes with fully automated (driver-less) operation, featuring (computer controlled) vehicles that operate on a dedicated network of guideways.",http://www.2getthere.eu
United States,California,Redwood City,2Know Services,Business Intelligence,2Know is a data science services company; specializing in providing insights and foresights that can transform your business. The company specializes in using various statistical and artificial intelligence techniques to create models that help drive more informed and better decisions for customers.,http://www.2knowservices.com
United States, California,San Francisco,30SecondsToFly - Claire,Travel,"AI-powered, fully automated corporate travel manager for SMBs",https://www.30secondstofly.com/
Canada, Ontario,Ottawa,360pi Corp.,Sales/Marketing,360pi derives profitable insights from product and pricing big data to help leading omnichannel retailers and brands compete and win.,https://markettrack.com/360pi-and-market-track
