Month of Order Date,Product Name,Sales
2013-05-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.00
2015-06-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.00
2013-11-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",333.00
2016-07-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",416.00
2016-11-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",500.00
2015-08-01,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1041.00
2013-11-01,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",6.00
2014-11-01,"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",44.00
2014-12-01,3-ring staple pack,4.00
2013-01-01,3-ring staple pack,6.00
2014-08-01,3-ring staple pack,6.00
2014-06-01,3-ring staple pack,8.00
2016-12-01,3-ring staple pack,9.00
2015-09-01,3-ring staple pack,11.00
2015-08-01,3.6 Cubic Foot Counter Height Office Refrigerator,59.00
2013-03-01,3.6 Cubic Foot Counter Height Office Refrigerator,177.00
2016-12-01,3.6 Cubic Foot Counter Height Office Refrigerator,295.00
2016-09-01,3.6 Cubic Foot Counter Height Office Refrigerator,943.00
2016-08-01,3.6 Cubic Foot Counter Height Office Refrigerator,1473.00
2016-10-01,"3D Systems Cube Printer, 2nd Generation, Magenta",5200.00
2015-04-01,"3D Systems Cube Printer, 2nd Generation, Magenta",9100.00
2016-11-01,"3D Systems Cube Printer, 2nd Generation, White",1040.00
2013-09-01,"3D Systems Cube Printer, 2nd Generation, White",1300.00
2014-12-01,3M Hangers With Command Adhesive,3.00
2016-12-01,3M Hangers With Command Adhesive,10.00
2013-06-01,3M Hangers With Command Adhesive,22.00
2014-05-01,3M Hangers With Command Adhesive,22.00
2016-04-01,3M Hangers With Command Adhesive,24.00
2015-12-01,3M Hangers With Command Adhesive,27.00
2014-12-01,3M Office Air Cleaner,104.00
2016-07-01,3M Office Air Cleaner,156.00
2014-07-01,3M Organizer Strips,6.00
2016-04-01,3M Organizer Strips,8.00
2016-11-01,3M Organizer Strips,9.00
2013-11-01,3M Organizer Strips,13.00
2016-09-01,3M Organizer Strips,21.00
2016-03-01,3M Organizer Strips,26.00
2014-03-01,3M Polarizing Light Filter Sleeves,22.00
2015-11-01,3M Polarizing Light Filter Sleeves,37.00
2015-05-01,3M Polarizing Light Filter Sleeves,45.00
2015-12-01,3M Polarizing Light Filter Sleeves,112.00
2015-11-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274.00
2016-04-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",274.00
2013-09-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822.00
2016-11-01,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",822.00
2014-12-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,53.00
2014-09-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,61.00
2014-04-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,76.00
2015-04-01,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,114.00
2016-12-01,"6"" Cubicle Wall Clock, Black",10.00
2016-09-01,"6"" Cubicle Wall Clock, Black",32.00
2015-09-01,"6"" Cubicle Wall Clock, Black",83.00
2014-10-01,9-3/4 Diameter Round Wall Clock,11.00
2015-05-01,9-3/4 Diameter Round Wall Clock,41.00
2013-08-01,9-3/4 Diameter Round Wall Clock,44.00
2015-02-01,9-3/4 Diameter Round Wall Clock,69.00
2013-07-01,9-3/4 Diameter Round Wall Clock,124.00
2016-11-01,9-3/4 Diameter Round Wall Clock,165.00
2015-07-01,12 Colored Short Pencils,4.00
2013-04-01,12 Colored Short Pencils,6.00
2016-11-01,12 Colored Short Pencils,8.00
2016-06-01,12-1/2 Diameter Round Wall Clock,24.00
2016-01-01,12-1/2 Diameter Round Wall Clock,32.00
2014-11-01,12-1/2 Diameter Round Wall Clock,40.00
2013-12-01,12-1/2 Diameter Round Wall Clock,64.00
2014-12-01,12-1/2 Diameter Round Wall Clock,80.00
2015-05-01,12-1/2 Diameter Round Wall Clock,112.00
2016-09-01,12-1/2 Diameter Round Wall Clock,200.00
2015-09-01,14-7/8 x 11 Blue Bar Computer Printout Paper,96.00
2016-12-01,14-7/8 x 11 Blue Bar Computer Printout Paper,96.00
2016-02-01,14-7/8 x 11 Blue Bar Computer Printout Paper,115.00
2016-08-01,14-7/8 x 11 Blue Bar Computer Printout Paper,115.00
2016-09-01,"24 Capacity Maxi Data Binder Racks, Pearl",421.00
2013-10-01,"24 Capacity Maxi Data Binder Racks, Pearl",505.00
2015-11-01,"24 Capacity Maxi Data Binder Racks, Pearl",1263.00
2016-06-01,"24 Capacity Maxi Data Binder Racks, Pearl",1348.00
2016-10-01,24-Hour Round Wall Clock,20.00
2016-05-01,24-Hour Round Wall Clock,40.00
2015-10-01,24-Hour Round Wall Clock,48.00
2015-01-01,24-Hour Round Wall Clock,80.00
2013-05-01,24-Hour Round Wall Clock,140.00
2014-07-01,24-Hour Round Wall Clock,160.00
2016-08-01,36X48 HARDFLOOR CHAIRMAT,17.00
2014-03-01,36X48 HARDFLOOR CHAIRMAT,34.00
2016-10-01,36X48 HARDFLOOR CHAIRMAT,42.00
2016-07-01,36X48 HARDFLOOR CHAIRMAT,84.00
2015-05-01,36X48 HARDFLOOR CHAIRMAT,193.00
2014-03-01,50 Colored Long Pencils,10.00
2016-04-01,50 Colored Long Pencils,16.00
2013-11-01,50 Colored Long Pencils,30.00
2015-04-01,50 Colored Long Pencils,30.00
2014-08-01,50 Colored Long Pencils,51.00
2016-10-01,2300 Heavy-Duty Transfer File Systems by Perma,50.00
2014-12-01,2300 Heavy-Duty Transfer File Systems by Perma,75.00
2013-04-01,2300 Heavy-Duty Transfer File Systems by Perma,100.00
2014-09-01,2300 Heavy-Duty Transfer File Systems by Perma,120.00
2015-01-01,4009 Highlighters,8.00
2015-11-01,4009 Highlighters by Sanford,6.00
2016-07-01,4009 Highlighters by Sanford,10.00
2013-01-01,4009 Highlighters by Sanford,20.00
2014-10-01,4009 Highlighters by Sanford,20.00
2016-10-01,4009 Highlighters by Sanford,20.00
2015-05-01,4009 Highlighters by Sanford,28.00
2013-05-01,4009 Highlighters by Sanford,32.00
2016-06-01,4009 Highlighters by Sanford,36.00
2016-10-01,"""While you Were Out"" Message Book, One Form per Page",7.00
2016-09-01,"""While you Were Out"" Message Book, One Form per Page",9.00
2016-11-01,"""While you Were Out"" Message Book, One Form per Page",9.00
2014-12-01,#6 3/4 Gummed Flap White Envelopes,8.00
2014-09-01,#6 3/4 Gummed Flap White Envelopes,16.00
2016-10-01,#6 3/4 Gummed Flap White Envelopes,48.00
2014-11-01,"#10 Gummed Flap White Envelopes, 100/Box",7.00
2015-04-01,"#10 Gummed Flap White Envelopes, 100/Box",8.00
2016-10-01,"#10 Gummed Flap White Envelopes, 100/Box",10.00
2015-01-01,"#10 Gummed Flap White Envelopes, 100/Box",17.00
2015-04-01,#10 Self-Seal White Envelopes,9.00
2015-09-01,#10 Self-Seal White Envelopes,11.00
2016-09-01,#10 Self-Seal White Envelopes,22.00
2015-10-01,#10 Self-Seal White Envelopes,67.00
2014-09-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",13.00
2016-06-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",38.00
2016-03-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",47.00
2013-09-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.00
2013-11-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.00
2015-12-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",110.00
2015-01-01,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.00
2013-06-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",14.00
2014-01-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.00
2014-09-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",17.00
2014-11-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",44.00
2016-12-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",44.00
2016-09-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",45.00
2013-07-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",49.00
2014-12-01,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",56.00
2016-01-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",18.00
2013-10-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",23.00
2015-12-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",23.00
2016-09-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",24.00
2016-11-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",28.00
2016-04-01,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",31.00
2016-04-01,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",63.00
2014-12-01,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.00
2013-02-01,Aastra 57i VoIP phone,162.00
2014-04-01,Aastra 57i VoIP phone,259.00
2016-02-01,Aastra 57i VoIP phone,259.00
2015-08-01,Aastra 57i VoIP phone,291.00
2015-02-01,Aastra 57i VoIP phone,485.00
2014-05-01,Aastra 57i VoIP phone,776.00
2016-08-01,Aastra 57i VoIP phone,1454.00
2016-09-01,Aastra 6757i CT Wireless VoIP phone,259.00
2016-05-01,Aastra 6757i CT Wireless VoIP phone,345.00
2016-11-01,Aastra 6757i CT Wireless VoIP phone,431.00
2016-08-01,Aastra 6757i CT Wireless VoIP phone,689.00
2014-11-01,Aastra 6757i CT Wireless VoIP phone,1206.00
2013-09-01,Acco 3-Hole Punch,1.00
2015-11-01,Acco 3-Hole Punch,3.00
2016-04-01,Acco 3-Hole Punch,9.00
2014-07-01,Acco 3-Hole Punch,11.00
2016-11-01,Acco 3-Hole Punch,14.00
2016-07-01,Acco 3-Hole Punch,18.00
2016-12-01,Acco 3-Hole Punch,18.00
2016-10-01,Acco 3-Hole Punch,22.00
2013-11-01,Acco 3-Hole Punch,44.00
2013-07-01,Acco 6 Outlet Guardian Basic Surge Suppressor,5.00
2013-05-01,Acco 6 Outlet Guardian Basic Surge Suppressor,33.00
2016-05-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,18.00
2016-10-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,22.00
2016-12-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,29.00
2015-11-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,55.00
2014-03-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,73.00
2016-08-01,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,92.00
2015-12-01,Acco 6 Outlet Guardian Premium Surge Suppressor,47.00
2015-06-01,Acco 6 Outlet Guardian Premium Surge Suppressor,58.00
2013-06-01,Acco 6 Outlet Guardian Premium Surge Suppressor,66.00
2016-03-01,Acco 6 Outlet Guardian Premium Surge Suppressor,73.00
2014-01-01,Acco 6 Outlet Guardian Premium Surge Suppressor,87.00
2013-11-01,Acco 6 Outlet Guardian Premium Surge Suppressor,102.00
2013-07-01,Acco 6 Outlet Guardian Standard Surge Suppressor,5.00
2016-09-01,Acco 6 Outlet Guardian Standard Surge Suppressor,24.00
2013-09-01,Acco 6 Outlet Guardian Standard Surge Suppressor,36.00
2014-12-01,Acco 6 Outlet Guardian Standard Surge Suppressor,36.00
2013-12-01,Acco 6 Outlet Guardian Standard Surge Suppressor,48.00
2014-07-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",49.00
2016-04-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.00
2015-12-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",195.00
2016-05-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",243.00
2015-05-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",365.00
2016-11-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",389.00
2016-10-01,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",1702.00
2015-03-01,"Acco Banker's Clasps, 5 3/4""-Long",2.00
2016-06-01,"Acco Banker's Clasps, 5 3/4""-Long",3.00
2013-04-01,"Acco Banker's Clasps, 5 3/4""-Long",7.00
2014-07-01,"Acco Banker's Clasps, 5 3/4""-Long",12.00
2016-12-01,"Acco Banker's Clasps, 5 3/4""-Long",17.00
2013-08-01,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",6.00
2014-08-01,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",11.00
2015-02-01,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",11.00
2016-09-01,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",14.00
2015-12-01,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",25.00
2016-01-01,Acco D-Ring Binder w/DublLock,4.00
2014-08-01,Acco D-Ring Binder w/DublLock,13.00
2013-11-01,Acco D-Ring Binder w/DublLock,19.00
2016-08-01,Acco D-Ring Binder w/DublLock,21.00
2013-07-01,Acco D-Ring Binder w/DublLock,30.00
2014-10-01,Acco D-Ring Binder w/DublLock,32.00
2016-06-01,Acco D-Ring Binder w/DublLock,51.00
2014-12-01,Acco D-Ring Binder w/DublLock,64.00
2016-09-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",6.00
2016-04-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",10.00
2013-04-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",21.00
2016-12-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",33.00
2014-02-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",42.00
2014-09-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",50.00
2016-11-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",58.00
2015-10-01,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",67.00
2013-07-01,Acco Economy Flexible Poly Round Ring Binder,1.00
2013-11-01,Acco Economy Flexible Poly Round Ring Binder,3.00
2016-12-01,Acco Economy Flexible Poly Round Ring Binder,3.00
2015-11-01,Acco Economy Flexible Poly Round Ring Binder,4.00
2013-11-01,Acco Expandable Hanging Binders,6.00
2016-07-01,Acco Expandable Hanging Binders,8.00
2014-04-01,Acco Expandable Hanging Binders,13.00
2015-09-01,Acco Expandable Hanging Binders,13.00
2016-10-01,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",10.00
2016-05-01,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",26.00
2014-05-01,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",49.00
2013-11-01,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",52.00
2015-03-01,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",65.00
