index,group,x,y
0,I,10,8.04
1,I,8,6.95
2,I,13,7.58
3,I,9,8.81
4,I,11,8.33
5,I,14,9.96
6,I,6,7.24
7,I,4,4.26
8,I,12,10.84
9,I,7,4.82
10,I,5,5.68
0,II,10,9.14
1,II,8,8.14
2,II,13,8.74
3,II,9,8.77
4,II,11,9.26
5,II,14,8.1
6,II,6,6.13
7,II,4,3.1
8,II,12,9.13
9,II,7,7.26
10,II,5,4.74
0,III,10,7.46
1,III,8,6.77
2,III,13,12.74
3,III,9,7.11
4,III,11,7.81
5,III,14,8.84
6,III,6,6.08
7,III,4,5.39
8,III,12,8.15
9,III,7,6.42
10,III,5,5.73
0,IV,8,6.58
1,IV,8,5.76
2,IV,8,7.71
3,IV,8,8.84
4,IV,8,8.47
5,IV,8,7.04
6,IV,8,5.25
7,IV,19,12.5
8,IV,8,5.56
9,IV,8,7.91
10,IV,8,6.89
